
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      6,108 K
Registry                       148 Services                   0     63,128 K
smss.exe                       520 Services                   0        528 K
csrss.exe                      744 Services                   0      2,120 K
wininit.exe                    836 Services                   0      2,904 K
services.exe                   908 Services                   0      7,996 K
lsass.exe                      928 Services                   0     18,924 K
svchost.exe                    560 Services                   0     37,432 K
fontdrvhost.exe                632 Services                   0      1,020 K
svchost.exe                   1140 Services                   0     17,280 K
svchost.exe                   1188 Services                   0      5,204 K
svchost.exe                   1392 Services                   0      5,696 K
svchost.exe                   1424 Services                   0     10,904 K
svchost.exe                   1432 Services                   0      4,892 K
svchost.exe                   1480 Services                   0      2,240 K
svchost.exe                   1516 Services                   0      6,400 K
svchost.exe                   1580 Services                   0     10,528 K
svchost.exe                   1704 Services                   0      7,804 K
svchost.exe                   1712 Services                   0      4,928 K
svchost.exe                   1720 Services                   0      1,788 K
svchost.exe                   1820 Services                   0      3,740 K
svchost.exe                   1884 Services                   0      4,352 K
NVDisplay.Container.exe       1928 Services                   0      9,976 K
svchost.exe                   2020 Services                   0      9,504 K
svchost.exe                   1656 Services                   0      1,528 K
svchost.exe                   1628 Services                   0      7,412 K
svchost.exe                   1676 Services                   0      3,388 K
svchost.exe                   1784 Services                   0      6,272 K
svchost.exe                   2160 Services                   0      2,520 K
svchost.exe                   2184 Services                   0      4,552 K
Memory Compression            2200 Services                   0  1,404,888 K
svchost.exe                   2296 Services                   0      4,200 K
svchost.exe                   2304 Services                   0      3,412 K
svchost.exe                   2544 Services                   0     12,444 K
WmiPrvSE.exe                  2704 Services                   0      6,980 K
svchost.exe                   2976 Services                   0      4,076 K
svchost.exe                    740 Services                   0      3,792 K
svchost.exe                   3112 Services                   0     10,756 K
svchost.exe                   3176 Services                   0      5,088 K
svchost.exe                   3180 Services                   0      6,912 K
svchost.exe                   3192 Services                   0      2,832 K
svchost.exe                   3356 Services                   0      3,908 K
svchost.exe                   3464 Services                   0     13,388 K
svchost.exe                   3528 Services                   0      6,392 K
svchost.exe                   3536 Services                   0     16,080 K
spoolsv.exe                   3604 Services                   0      5,208 K
svchost.exe                   3644 Services                   0     10,544 K
nordvpn-service.exe           3652 Services                   0      7,668 K
svchost.exe                   3692 Services                   0      2,680 K
AppleMobileDeviceService.     3244 Services                   0      3,712 K
CorsairMsiPluginService.e     3376 Services                   0      3,192 K
svchost.exe                   3380 Services                   0      4,136 K
mDNSResponder.exe             1988 Services                   0      4,092 K
CorsairGamingAudioCfgServ     1960 Services                   0      2,296 K
svchost.exe                   1948 Services                   0     11,412 K
CueLLAccessService.exe        3576 Services                   0      4,584 K
IpOverUsbSvc.exe              3840 Services                   0      2,400 K
svchost.exe                   3848 Services                   0     39,620 K
svchost.exe                   3872 Services                   0     27,600 K
svchost.exe                   3688 Services                   0      5,512 K
svchost.exe                   4100 Services                   0      1,892 K
svchost.exe                   4108 Services                   0      5,616 K
svchost.exe                   4116 Services                   0        500 K
LogiRegistryService.exe       4144 Services                   0      3,000 K
vmware-authd.exe              4160 Services                   0      5,220 K
vmnetdhcp.exe                 4176 Services                   0        804 K
nvcontainer.exe               4228 Services                   0     19,784 K
vmware-usbarbitrator64.ex     4272 Services                   0      3,360 K
vmnat.exe                     4284 Services                   0      2,216 K
svchost.exe                   4296 Services                   0     14,444 K
OriginWebHelperService.ex     4316 Services                   0      9,928 K
MsMpEng.exe                   4344 Services                   0    237,364 K
WTabletServicePro.exe         4416 Services                   0      4,076 K
svchost.exe                   4484 Services                   0      4,104 K
dasHost.exe                   4756 Services                   0      5,356 K
svchost.exe                   4920 Services                   0      1,108 K
svchost.exe                   5024 Services                   0      5,088 K
svchost.exe                   5504 Services                   0      3,188 K
svchost.exe                   5628 Services                   0      3,408 K
vmware-hostd.exe              6016 Services                   0      7,580 K
dasHost.exe                   5776 Services                   0        256 K
gamingservicesnet.exe         7156 Services                   0        244 K
gamingservices.exe            7164 Services                   0     16,684 K
svchost.exe                   6432 Services                   0      5,300 K
